时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出
2015-01-05 16:00:00,-0.13,0,0,0,0,0
2015-01-06 16:00:00,8.61,0,0,0,0,0
2015-01-07 16:00:00,6.38,0,0,0,0,0
2015-01-08 16:00:00,5.48,0,0,0,0,0
2015-01-09 16:00:00,5.17,0,0,0,0,0
2015-01-12 16:00:00,6.46,0,0,0,0,0
2015-01-13 16:00:00,6.2,0,0,0,0,0
2015-01-14 16:00:00,6.69,1.05,105071.38,0,10012068,0
2015-01-15 16:00:00,6.69,1.05,0,0,0,0
2015-01-16 16:00:00,8.92,3.17,211827,0,0,0
2015-01-19 16:00:00,2.01,-3.4,0,-657096,0,0
2015-01-20 16:00:00,4.28,-1.24,216150,0,0,0
2015-01-21 16:00:00,5.57,-1.37,0,-12858.33,0,-9891024
2015-01-22 16:00:00,6.42,-1.37,0,0,0,0
2015-01-23 16:00:00,4.5,-1.37,0,0,0,0
2015-01-26 16:00:00,7.89,-1.37,0,0,0,0
2015-01-27 16:00:00,5.53,-1.37,0,0,0,0
2015-01-28 16:00:00,3.74,-1.37,0,0,0,0
2015-01-29 16:00:00,2.01,-1.37,0,0,0,0
2015-01-30 16:00:00,0.67,-1.37,0,0,0,0
2015-02-02 16:00:00,-1.25,-1.37,0,0,0,0
2015-02-03 16:00:00,0.05,-1.37,0,0,0,0
2015-02-04 16:00:00,-1.2,-1.37,0,0,0,0
2015-02-05 16:00:00,-1.65,-1.37,0,0,0,0
2015-02-06 16:00:00,0.8,-1.37,0,0,0,0
2015-02-09 16:00:00,-0.93,-1.37,0,0,0,0
2015-02-10 16:00:00,-4.37,-1.37,0,0,0,0
2015-02-11 16:00:00,-2.99,-1.37,0,0,0,0
2015-02-12 16:00:00,-4.19,-1.37,0,0,0,0
2015-02-13 16:00:00,-2.23,-1.37,0,0,0,0
2015-02-16 16:00:00,-0.98,-1.37,0,0,0,0
2015-02-17 16:00:00,0.63,-1.37,0,0,0,0
2015-02-25 16:00:00,-0.45,-1.37,0,0,0,0
2015-02-26 16:00:00,0.58,-1.37,0,0,0,0
2015-02-27 16:00:00,0.49,-1.37,0,0,0,0
2015-03-02 16:00:00,0.13,-1.37,0,0,0,0
2015-03-03 16:00:00,1.92,-1.37,0,0,0,0
2015-03-04 16:00:00,3.7,-1.37,0,0,0,0
2015-03-05 16:00:00,2.54,-1.37,0,0,0,0
2015-03-06 16:00:00,0.4,-1.37,0,0,0,0
2015-03-09 16:00:00,1.2,-1.37,0,0,0,0
2015-03-10 16:00:00,1.25,-1.37,0,0,0,0
2015-03-11 16:00:00,0.09,-2.64,0,-127282.37,9874560,0
2015-03-12 16:00:00,1.38,-1.4,124320,0,0,0
2015-03-13 16:00:00,1.03,-1.75,0,-35520,0,0
2015-03-16 16:00:00,5.53,2.64,439560,0,0,0
2015-03-17 16:00:00,4.14,1.31,0,-133200,0,0
2015-03-18 16:00:00,5.44,2.55,124109.31,0,0,-13686
2015-03-19 16:00:00,7.04,4.1,155190,0,0,0
2015-03-20 16:00:00,7.49,4.55,44340,0,0,0
2015-03-23 16:00:00,9.05,6.05,150756,0,0,0
2015-03-24 16:00:00,17.3,14.08,802554,0,0,0
2015-03-25 16:00:00,20.33,17.05,297078,0,0,0
2015-03-26 16:00:00,16.72,13.55,0,-350286,0,0
2015-03-27 16:00:00,16.72,13.55,0,0,0,0
2015-03-30 16:00:00,16.94,13.77,22170,0,0,0
2015-03-31 16:00:00,16.36,13.19,0,-57642,0,0
2015-04-01 16:00:00,17.88,14.66,146322,0,0,0
2015-04-02 16:00:00,18.06,14.83,17736,0,0,0
2015-04-03 16:00:00,21.93,18.6,376890,0,0,0
2015-04-07 16:00:00,28.4,24.9,629628,0,0,0
2015-04-08 16:00:00,30.23,26.67,177360,0,0,0
2015-04-09 16:00:00,32.41,28.8,212832,0,0,0
2015-04-10 16:00:00,35.98,32.26,345852,0,0,0
2015-04-13 16:00:00,41.55,37.71,545382,0,0,0
2015-04-14 16:00:00,51.09,46.98,926706,0,0,0
2015-04-15 16:00:00,41.24,37.4,0,-957744,0,0
2015-04-16 16:00:00,46.9,42.9,549816,0,0,0
2015-04-17 16:00:00,48.02,43.96,106416,0,0,0
2015-04-20 16:00:00,42.62,38.73,0,-523212,0,0
2015-04-21 16:00:00,46.72,42.72,399060,0,0,0
2015-04-22 16:00:00,49.49,45.43,270474,0,0,0
2015-04-23 16:00:00,47.39,43.39,0,-203964,0,0
2015-04-24 16:00:00,43.29,39.4,0,-399060,0,0
2015-04-27 16:00:00,45.96,41.97,257172,0,0,0
2015-04-28 16:00:00,48.55,44.5,252738,0,0,0
2015-04-29 16:00:00,47.93,43.88,0,-62076,0,0
2015-04-30 16:00:00,43.6,39.71,0,-416796,0,0
2015-05-04 16:00:00,39.28,35.5,0,-421230,0,0
2015-05-05 16:00:00,36.2,32.48,0,-301512,0,0
2015-05-06 16:00:00,34.33,30.66,0,-181794,0,0
2015-05-07 16:00:00,31.12,27.56,0,-310380,0,0
2015-05-08 16:00:00,38.21,34.43,687270,0,0,0
2015-05-11 16:00:00,47.04,43.03,860196,0,0,0
2015-05-12 16:00:00,45.3,41.35,0,-168492,0,0
2015-05-13 16:00:00,44.32,40.15,0,-120225.69,0,-14033610
2015-05-14 16:00:00,42.8,40.15,0,0,0,0
2015-05-15 16:00:00,38.47,40.15,0,0,0,0
